,lat,lon,fs_parks,yelp_parks
0,43.665269,-79.319796,29,10
1,43.67142,-79.445947,28,3
2,43.666224,-79.317693,28,10
3,43.653236,-79.376716,50,43
4,43.663722,-79.380288,50,39
5,43.657763,-79.389165,50,36
6,43.656729,-79.382736,50,38
7,43.664467,-79.414783,43,16
8,43.675492,-79.388858,50,25
9,43.674991,-79.396273,50,25
10,43.671944,-79.387778,50,26
11,43.662365,-79.351104,43,24
12,43.646144,-79.377962,50,37
13,43.663993,-79.358534,46,24
14,43.657266,-79.374756,50,41
15,43.6672144,-79.3452697,44,22
16,43.673939,-79.441159,26,6
17,43.657991,-79.340075,31,17
18,43.66745,-79.329408,40,16
19,43.672453,-79.338259,40,16
20,43.6592088,-79.3348396,30,15
21,43.689211,-79.35438,22,3
22,43.656927,-79.378497,50,43
23,43.658295,-79.372346,50,42
24,43.6940155,-79.2889842,15,1
25,43.6809164,-79.4229684,26,10
26,43.6910667,-79.39535,34,6
27,43.6975969,-79.39654,28,6
28,43.639832,-79.395954,50,31
29,43.667333,-79.399429,50,27
30,43.6480008,-79.383177,50,37
31,43.656518,-79.389099,50,37
32,43.687999,-79.38906,39,9
33,43.6563889,-79.45166667,34,4
34,43.639179,-79.399595,50,27
35,43.6616667,-79.40138889,50,30
36,43.66666667,-79.45833333,30,4
37,43.657192,-79.452559,32,4
38,43.6576,-79.4032,49,23
39,43.660694,-79.379052,50,40
40,43.636533,-79.395854,50,23
41,43.659777,-79.382767,50,38
42,43.643667,-79.380414,50,38
43,43.666233,-79.373327,48,37
44,43.640114,-79.393249,50,34
45,43.653766,-79.4016759,49,29
46,43.6587734,-79.443054,34,4
47,43.65388889,-79.44138889,29,6
48,43.65083333,-79.44305556,31,6
49,43.651238,-79.43868,33,7
50,43.6544915,-79.422634,33,12
51,43.6543604,-79.4655296,30,7
52,43.635932,-79.465083,21,11
53,43.654501,-79.460053,27,8
54,43.634896,-79.467763,21,12
55,43.6314,-79.4304,17,7
56,43.636731,-79.444966,22,7
57,43.6534268,-79.4512787,34,7
58,43.7112153,-79.39894,23,7
59,43.655227,-79.39201,50,35
60,43.685167,-79.34962,26,3
61,43.6704537,-79.39014,50,27
62,43.6691099,-79.38551,50,28
63,43.641389,-79.404444,50,27
64,43.643834,-79.396649,50,35
65,43.6545174,-79.3895315,50,37
66,43.665846,-79.404998,50,21
67,43.6461,-79.3895,50,36
68,43.671349,-79.29451,18,6
69,43.667208,-79.312315,30,10
70,43.669328,-79.288949,11,3
71,43.672571,-79.289,13,3
72,43.638497,-79.39192,50,29
73,43.662771,-79.315223,27,11
74,43.66852,-79.363525,34,20
75,43.652473,-79.401456,44,30
76,43.643975,-79.419576,38,14
77,43.651318,-79.36023,35,26
78,43.656094,-79.381484,50,36
79,43.670318,-79.405181,50,20
80,43.676667,-79.416111,42,14
81,43.640634,-79.435841,33,8
82,43.639444,-79.423611,40,11
83,43.67,-79.42083333,41,10
84,43.671389,-79.416389,48,14
85,43.68,-79.425,22,9
86,43.6394444,-79.42527778,37,11
87,43.675791,-79.40698,50,19
88,43.675556,-79.410278,50,16
89,43.674444,-79.414722,47,16
90,43.671513,-79.408317,50,18
91,43.6783213,-79.35822,29,11
92,43.6848652,-79.356602,26,5
93,43.68395,-79.347046,25,4
94,43.690537,-79.341307,22,6
95,43.704461,-79.423122,18,1
96,43.659195,-79.329196,32,16
97,43.651885,-79.3649,50,31
98,43.682645,-79.377557,38,13
99,43.6475,-79.43305556,43,9
100,43.6494896,-79.393535,50,35
101,43.671526,-79.44874,24,3
102,43.6452972,-79.3827914,50,36
103,43.6452091,-79.3960744,50,35
104,43.6555556,-79.43361111,37,9
105,43.678077,-79.390328,50,20
106,43.645665,-79.415345,44,17
107,43.6493472,-79.42668,42,10
108,43.660207,-79.361275,45,26
109,43.648655,-79.367061,48,31
110,43.648711,-79.389728,50,37
111,43.6605603,-79.3437663,39,20
112,43.6561111,-79.36138889,48,28
113,43.652219,-79.354455,34,23
114,43.650279,-79.356832,34,26
115,43.649147,-79.395504,50,36
116,43.643795,-79.375413,50,35
117,43.662085,-79.397735,50,36
118,43.659575,-79.365769,50,34
119,43.65205,-79.362198,41,28
120,43.668456,-79.393899,50,25
121,43.639052,-79.399792,50,27
122,43.6448617,-79.42822,43,11
123,43.6409,-79.432837,32,9
124,43.660414,-79.415646,48,15
125,43.661975,-79.407896,49,19
126,43.65905,-79.422988,35,10
127,43.66,-79.40888889,50,17
128,43.690564,-79.326319,23,7
129,43.688325,-79.300463,25,5
130,43.65716,-79.46478,26,5
131,43.6772,-79.35858,29,10
132,43.662712,-79.379903,50,40
133,43.658938,-79.383518,50,37
134,43.683378,-79.322961,28,5
135,43.6425636,-79.3762,50,36
136,43.6521,-79.4486,32,10
137,43.669969,-79.386532,50,27
138,43.633473,-79.425679,28,9
139,43.630254,-79.420317,25,9
140,43.662403,-79.423098,37,10
141,43.656945,-79.424911,31,9
142,43.6817346,-79.4184725,33,10
143,43.683296,-79.418734,30,9
144,43.673831,-79.281455,9,2
145,43.666325,-79.3014,23,7
146,43.651145,-79.423742,37,10
147,43.654905,-79.398448,50,35
148,43.651118,-79.369411,50,37
149,43.6571,-79.4056,50,20
150,43.652823,-79.393388,50,36
151,43.665527,-79.387499,50,34
152,43.6582,-79.3768,50,41
153,43.671172,-79.354704,33,16
154,43.677076,-79.35667,29,11
155,43.680223,-79.344062,28,13
156,43.678401,-79.346289,28,12
157,43.681991,-79.329455,25,7
158,43.6422222,-79.41111111,50,19
159,43.663808,-79.410491,44,18
160,43.6666667,-79.41166667,44,14
161,43.6638889,-79.41888889,43,13
162,43.661705,-79.425734,34,8
163,43.6686111,-79.42027778,41,9
164,43.665327,-79.43235,33,10
165,43.657343,-79.43112,36,10
166,43.645324,-79.40345,50,28
167,43.650256,-79.36163,42,27
168,43.65111111,-79.42138889,37,10
169,43.656296,-79.414663,43,14
170,43.651281,-79.411717,48,16
171,43.65277778,-79.42972222,39,14
172,43.655,-79.418889,37,14
173,43.668553,-79.338673,43,19
174,43.663912,-79.327987,36,16
175,43.6462176,-79.3855048,50,37
176,43.69595,-79.328535,15,6
177,43.6753188,-79.3462789,35,15
178,43.6720273,-79.3470557,42,17
179,43.637981,-79.424146,39,9
180,43.640885,-79.416379,47,15
181,43.6552778,-79.36583333,50,34
182,43.6712581,-79.376367,50,25
183,43.664524,-79.36793,49,34
184,43.665867,-79.362506,38,23
185,43.648575,-79.380042,50,42
186,43.643473,-79.390477,50,35
187,43.645859,-79.38783,50,38
188,43.662132,-79.3656796,50,32
189,43.640722,-79.391051,50,34
190,43.66207,-79.37617,50,38
191,43.660206,-79.3244,31,13
192,43.668633,-79.291162,11,4
193,43.665801,-79.384796,50,35
194,43.668153,-79.38891,50,28
195,43.657024,-79.377257,50,43
196,43.662862,-79.383572,50,37
197,43.7063473,-79.40161,27,5
198,43.6978701,-79.39419,28,6
199,43.696708,-79.40045,27,7
200,43.6476616,-79.37549,50,36
201,43.6487245,-79.36839,50,33
202,43.64852,-79.380576,50,42
203,43.656026,-79.385327,50,37
204,43.645323,-79.395003,50,36
205,43.677778,-79.405556,50,20
206,43.641646,-79.375308,49,35
207,43.646162,-79.378912,50,39
208,43.687323,-79.304848,27,5
209,43.668991,-79.379385,50,27
210,43.6622222,-79.3825,50,36
211,43.64333333,-79.40555556,50,27
212,43.6575,-79.39527778,50,32
213,43.657424,-79.381019,50,40
214,43.64595,-79.378761,50,39
215,43.668427,-79.38725,50,27
216,43.669604,-79.381171,50,28
217,43.661673,-79.337789,33,19
218,43.665656,-79.352055,44,24
219,43.6308933,-79.4722622,17,8
220,43.6224434,-79.480284,17,8
221,43.66986,-79.398443,50,28
222,43.659471,-79.350325,41,23
223,43.650492,-79.450842,35,10
224,43.640255,-79.439223,31,8
225,43.637922,-79.431734,29,9
226,43.643769,-79.447915,29,11
227,43.649172,-79.4445087,31,7
228,43.663912,-79.416124,44,14
229,43.6458569,-79.3853654,50,37
230,43.66587,-79.33443,34,17
231,43.658816,-79.367318,50,38
232,43.654004,-79.444792,28,6
233,43.6397,-79.44865,27,10
234,43.653809,-79.3595,41,29
235,43.673768,-79.391253,50,28
236,43.656638,-79.358749,46,29
237,43.716652,-79.399993,22,5
238,43.684261,-79.299332,27,5
239,43.678685,-79.297974,28,6
240,43.65143,-79.47779,24,6
241,43.64976,-79.48477,20,5
242,43.664182,-79.449066,35,4
243,43.64407,-79.3929,50,35
244,43.61868,-79.48674,18,7
245,43.6442,-79.38702,50,37
246,43.64283,-79.38409,50,34
247,43.65182,-79.47421,26,7
248,43.685569,-79.408019,31,11
249,43.651678,-79.375233,50,39
250,43.651838,-79.378743,50,43
251,43.665221,-79.394009,50,32
252,43.688148,-79.362101,21,6
253,43.669232,-79.374495,50,26
254,43.640075,-79.414156,50,16
255,43.678285,-79.347346,28,11
256,43.697139,-79.31469,18,5
257,43.694826,-79.295208,19,1
258,43.673118,-79.318651,35,12
259,43.689293,-79.295895,24,4
260,43.66908,-79.3149,34,11
261,43.66073,-79.47149,22,3
262,43.63121,-79.41414,33,10
263,43.66189,-79.42679,33,8
264,43.65389,-79.4675,30,7
265,43.676697,-79.445029,25,4
266,43.68114,-79.4277,21,9
267,43.663148,-79.347938,40,22
268,43.669813,-79.3335,43,16
269,43.633537,-79.437461,20,6
270,43.63632,-79.47307,22,10
271,43.697819,-79.38786,24,6
272,43.638426,-79.429142,30,9
273,43.65988,-79.38279,50,38
274,43.66842,-79.410585,49,14
275,43.66402,-79.46418,25,5
276,43.66686,-79.46526,25,3
277,43.671278,-79.372127,50,25
278,43.635023,-79.399505,48,23
279,43.66834,-79.38235,50,28
280,43.65263,-79.38766,50,38
281,43.70547,-79.40355,25,5
282,43.641675,-79.354006,15,14
283,43.694341,-79.291416,15,1
284,43.64422,-79.36927,44,31
285,43.685924,-79.376304,24,8
286,43.645215,-79.364898,41,24
287,43.646677,-79.442741,32,7
288,43.63855,-79.46693,23,11
289,43.645599,-79.4657123,30,9
290,43.674923,-79.430465,23,11
291,43.684758,-79.316767,30,6
292,43.66663,-79.38148,50,34
293,43.685221,-79.294766,25,2
294,43.635492,-79.398253,49,23
295,43.63951,-79.383717,50,29
296,43.641529,-79.386741,50,36
297,43.6417852,-79.4131148,50,18
298,43.655766,-79.3802,50,40
299,43.680466,-79.432522,20,8
300,43.664088,-79.387095,50,39
301,43.65917,-79.46997,21,3
302,43.671535,-79.379173,50,25
303,43.646734,-79.38301,50,36
304,43.6662942,-79.4066433,50,20
305,43.675278,-79.423889,31,12
306,43.648928,-79.378623,50,43
307,43.6509552,-79.3707,50,39
308,43.715951,-79.351246,8,4
309,43.665645,-79.304711,24,8
310,43.645572,-79.39399,50,35
311,43.652777,-79.372637,50,40
312,43.665538,-79.451263,30,3
313,43.650325,-79.372287,50,41
314,43.66943,-79.38915,50,28
315,43.669244,-79.3894,50,28
316,43.683351,-79.41562,30,11
317,43.6574766,-79.373446,50,42
318,43.636611,-79.400042,50,23
319,43.646552,-79.406468,50,26
320,43.647259,-79.379878,50,40
321,43.713524,-79.400162,19,6
322,43.6500392,-79.3733541,50,40
323,43.653264,-79.382458,50,39
324,43.663376,-79.392125,50,38
325,43.660439,-79.385525,50,39
326,43.659226,-79.390213,50,38
327,43.65995,-79.38964,50,38
328,43.661803,-79.389682,50,38
329,43.660087,-79.385655,50,39
330,43.6146692,-79.4873148,16,5
331,43.626265,-79.476723,17,7
332,43.63771,-79.458173,20,13
333,43.6390437,-79.4760109,24,9
334,43.6486599,-79.4376413,39,7
335,43.6423847,-79.4240277,41,10
336,43.6702236,-79.4360232,33,7
337,43.6752732,-79.3778458,50,27
338,43.645469,-79.411084,50,20
339,43.6882821,-79.4253856,22,7
340,43.651603,-79.408346,50,22
341,43.670206,-79.402643,50,24
342,43.661559,-79.413845,46,15
343,43.6560758,-79.393259,50,35
344,43.6580442,-79.3927404,50,34
345,43.6568254,-79.3966159,50,35
346,43.5927419,-79.5403301,15,5
347,43.597082,-79.522768,12,3
348,43.6171635,-79.4971065,15,4
349,43.612063,-79.496573,14,4
350,43.63732,-79.489083,21,6
351,43.5961692,-79.5160575,15,3
352,43.613606,-79.4883535,16,5
353,43.664665,-79.489385,13,2
354,43.665523,-79.484892,16,3
355,43.668496,-79.485426,17,3
356,43.698841,-79.519472,15,0
357,43.658574,-79.487246,15,4
358,43.63985,-79.43703,29,8
359,43.665076,-79.341509,39,19
360,43.6323994,-79.4097818,38,14
361,43.6935477,-79.3301658,15,7
362,43.6438036,-79.4770327,28,8
363,43.65246,-79.413528,50,17
364,43.6548521,-79.3539768,37,25
365,43.630874,-79.482407,19,6
366,43.6704403,-79.4532855,27,3
367,43.6535,-79.354068,36,23
368,43.6617908,-79.361515,42,24
369,43.649709,-79.364184,47,29
370,43.666051,-79.374161,49,37
371,43.7005976,-79.397345,26,6
372,43.7029672,-79.3979073,24,6
373,43.68871,-79.39264,41,8
374,43.6834703,-79.5108942,14,1
375,43.7696262,-79.5025943,5,0
376,43.7641485,-79.5012809,5,0
377,43.76521,-79.491281,4,0
378,43.7724019,-79.4675395,6,1
379,43.7781116,-79.467963,9,1
380,43.707049,-79.40966,20,4
381,43.711751,-79.378615,19,4
382,43.732975,-79.40401,15,2
383,43.660274,-79.398049,50,35
384,43.699281,-79.318802,13,4
385,43.696631,-79.297436,18,3
386,43.650077,-79.391291,50,40
387,43.6765897,-79.3163022,34,10
388,43.650745,-79.383633,50,41
389,43.720233,-79.362092,7,4
390,43.6926825,-79.441042,17,3
391,43.7041957,-79.4094472,20,3
392,43.7078691,-79.39248,28,8
393,43.5880774,-79.5432067,11,6
394,43.754978,-79.1971289,6,2
395,43.6856,-79.3718,28,8
396,43.637764,-79.345359,5,5
397,43.6629228,-79.4018451,50,31
398,43.660296,-79.397107,50,35
399,43.7805505,-79.1301203,4,2
400,43.7777114,-79.1659711,5,1
401,43.779353,-79.193023,3,1
402,43.747854,-79.199327,7,2
403,43.7561681,-79.2026694,6,2
404,43.6002896,-79.5108692,11,1
405,43.6615467,-79.498398,10,1
406,43.6632257,-79.4397052,33,5
407,43.680095,-79.291714,25,3
408,43.691468,-79.288619,18,2
409,43.645609,-79.380386,50,39
410,43.65916667,-79.38555556,50,39
411,43.658777,-79.369596,50,40
412,43.6625395,-79.5030161,10,3
413,43.7004017,-79.4275305,18,2
414,43.77953,-79.45233,12,1
415,43.7774374,-79.4447096,11,1
416,43.6637403,-79.3980645,50,38
417,43.707045,-79.375437,15,4
418,43.6495789,-79.3762096,50,41
419,43.690903,-79.4375028,15,3
420,43.64325309,-79.4123047,50,19
421,43.6029904,-79.4926867,13,3
422,43.6596299,-79.4799176,21,4
423,43.6608333,-79.43166667,34,10
424,43.66083333,-79.43583333,32,9
425,43.69933,-79.39199,26,5
426,43.6653032,-79.4701178,21,2
427,43.6162721,-79.4990363,14,3
428,43.720645,-79.355474,6,4
429,43.6641174,-79.4588522,34,4
430,43.6424558,-79.4296346,42,10
431,43.6954486,-79.4026176,26,8
432,43.6850809,-79.3149901,32,6
433,43.6800218,-79.3405681,30,9
434,43.7842419,-79.1849889,4,1
435,43.6451308,-79.3653644,41,24
436,43.6482995,-79.3552533,30,20
437,43.656373,-79.3878104,50,39
438,43.657838,-79.38631,50,36
439,43.778015,-79.131911,4,2
440,43.672079,-79.470171,17,2
441,43.690237,-79.350119,22,2
442,43.70942,-79.39139,25,7
443,43.671389,-79.382919,50,26
444,43.671561,-79.38117,50,26
445,43.669903,-79.387802,50,28
446,43.693256,-79.383238,27,6
447,43.6541245,-79.4636388,28,8
448,43.680207,-79.339243,30,9
449,43.6589882,-79.438715,33,6
450,43.6741219,-79.4352208,26,8
451,43.6469928,-79.3706665,50,34
452,43.683884,-79.36647,22,7
453,43.6578449,-79.3899265,50,36
454,43.6477785,-79.3847928,50,36
455,43.6856128,-79.3116827,33,7
456,43.681944,-79.390556,45,15
457,43.64534,-79.409597,50,22
458,43.6393107,-79.4408141,27,8
459,43.6830689,-79.279682,8,2
460,43.6626628,-79.3323698,31,16
461,43.681114,-79.3373885,27,8
462,43.638925,-79.4168659,43,13
463,43.676216,-79.309395,37,10
464,43.652822,-79.378208,50,42
465,43.656633,-79.379625,50,41
466,43.686962,-79.286864,15,2
467,43.718039,-79.371914,11,2
468,43.672152,-79.39018,50,26
469,43.673019,-79.467994,20,3
470,43.72268,-79.37644,9,4
471,43.6504218,-79.4407647,32,7
472,43.6885046,-79.3940052,44,8
473,43.641705,-79.393295,50,36
474,43.647663,-79.487583,21,4
475,43.720998,-79.377456,9,5
476,43.7281464,-79.4032194,13,3
477,43.65232722,-79.38825382,50,38
478,43.6438602,-79.4227573,39,12
479,43.64920407,-79.49336334,16,3
480,43.6503935,-79.3860211,50,41
481,43.6399714,-79.399404,50,31
482,43.6882706,-79.43937767,18,4
483,43.6614605,-79.3789457,50,43
484,43.69413548,-79.30058719,20,4
485,43.7254665,-79.4011545,14,4
486,43.7083577,-79.398862,29,7
487,43.6384009,-79.4197107,40,12
488,43.7027268,-79.3336809,11,5
489,43.70567,-79.310554,8,4
490,43.635,-79.40888889,47,17
491,43.65678478,-79.35627385,38,30
492,43.732016,-79.403637,14,2
493,43.67515256,-79.38849616,50,27
494,43.67468857,-79.36701962,37,20
495,43.72736549,-79.38142546,7,2
496,43.6846177,-79.3924592,42,12
497,43.77345,-79.5002,3,0
498,43.686442,-79.313404,31,6
499,43.664028,-79.4029787,50,28
500,43.65049,-79.3873,50,41
501,43.6413479,-79.4013882,50,32
502,43.64215,-79.377,50,36
503,43.6392777,-79.4115736,50,16
504,43.645102,-79.3974498,50,36
505,43.6602021,-79.4342726,32,8
506,43.644887,-79.4564117,37,11
507,43.680012,-79.3440325,28,13
508,43.637381,-79.406112,50,22
509,43.63811,-79.397877,50,27
510,43.64957,-79.432446,40,9
511,43.6700692,-79.2971326,24,7
512,43.6559476,-79.3755883,50,41
513,43.6677628,-79.3081171,28,9
514,43.6750806,-79.3068697,36,10
515,43.6754247,-79.4547813,24,3
516,43.6409957,-79.4096663,50,21
517,43.6593483,-79.3499366,39,23
518,43.67168,-79.421192,37,12
519,43.652634,-79.374222,50,40
520,43.6519501,-79.4060978,50,23
521,43.6613642,-79.3641171,50,30
522,43.6808774,-79.3304491,28,9
523,43.6623658,-79.3413344,39,18
524,43.6791345,-79.3263159,28,9
525,43.6478206,-79.3704721,50,34
526,43.635495,-79.4035221,43,22
527,43.6868681,-79.3110942,33,7
528,43.678177,-79.435364,25,8
529,43.6962302,-79.3950434,27,6
530,43.667076,-79.425116,39,8
531,43.68005,-79.43469,23,7
532,43.675648,-79.4527619,22,3
533,43.6677246,-79.4041365,50,19
534,43.648437,-79.39838,50,35
535,43.6673,-79.374,48,31
536,43.6517925,-79.3826951,50,39
537,43.6372958,-79.4423237,25,8
538,43.6554793,-79.4302462,35,10
539,43.686352,-79.415894,27,10
540,43.6442457,-79.4161044,48,15
541,43.7741,-79.5005,3,0
542,43.683979,-79.410657,30,11
543,43.6472019,-79.3953394,50,37
544,43.6513927,-79.3579466,37,26
545,43.6647688,-79.3772602,50,37
546,43.6506,-79.381285,50,41
547,43.6408346,-79.3429074,6,4
548,43.6585504,-79.4497659,37,6
549,43.6484201,-79.4005192,50,33
550,43.693187,-79.314283,24,6
551,43.6425791,-79.4001173,50,32
552,43.6469251,-79.3733192,50,35
553,43.644395,-79.4006543,50,33
554,43.6463574,-79.391206,50,37
555,43.6682342,-79.3702641,50,25
556,43.6791876,-79.390719,50,19
557,43.674446,-79.398331,50,28
558,43.6501644,-79.4829691,21,6
559,43.636804,-79.408832,50,17
560,43.6658804,-79.3876101,50,34
561,43.68035,-79.28357,10,2
562,43.6535052,-79.3667689,50,37
563,43.70241858,-79.25631671,14,2
564,43.68824136,-79.27046628,7,1
565,43.691688,-79.265027,9,1
566,43.69749005,-79.25655146,12,2
567,43.69401298,-79.26257205,10,1
568,43.6929478,-79.2833998,10,2
569,43.6950192,-79.2718066,9,1
570,43.6926325,-79.4627536,7,1
571,43.7105975,-79.2541175,10,1
572,43.69415,-79.4578258,6,1
573,43.70163,-79.44099,20,2
574,43.688028,-79.460265,9,2
575,43.68323,-79.455765,14,3
576,43.69466,-79.45377,6,1
577,43.6784834,-79.3513564,31,10
578,43.6501687,-79.4963345,13,4
579,43.6492,-79.50602,12,3
580,43.6897656,-79.2939525,24,2
581,43.6357643,-79.4674917,22,11
582,43.6236917,-79.4838132,19,8
583,43.648657,-79.458111,32,10
584,43.671293,-79.380471,50,27
585,43.69932707,-79.44936304,12,1
586,43.6356059,-79.4934616,14,3
587,43.7611741,-79.5114452,6,0
588,43.7603624,-79.5162777,5,0
589,43.62313,-79.4918,21,7
590,43.772445,-79.511912,3,0
591,43.653359,-79.365023,50,35
592,43.70643614,-79.25104443,12,2
593,43.655972,-79.370638,50,41
594,43.641952,-79.380723,50,37
595,43.646552,-79.399586,50,33
596,43.6591529,-79.3947953,50,33
597,43.659055,-79.440764,34,4
598,43.669576,-79.375961,50,25
599,43.706466,-79.29511,11,2
600,43.64631447,-79.44879407,32,11
601,43.65222662,-79.32295441,12,9
602,43.66526762,-79.47502123,16,2
603,43.66554144,-79.41010318,47,17
604,43.77649016,-79.50853649,3,0
605,43.655431,-79.380653,50,40
606,43.653518,-79.38591064,50,39
607,43.59119994,-79.54449133,14,6
608,43.6544839,-79.341057,28,15
609,43.65082786,-79.396981,50,35
610,43.67384356,-79.46092619,23,4
611,43.64750835,-79.38604437,50,37
612,43.71513211,-79.33413623,9,4
613,43.71649676,-79.3308944,8,3
614,43.715538,-79.32811428,9,2
615,43.70400405,-79.34807015,12,2
616,43.71963254,-79.33199951,9,4
617,43.7065616,-79.36781965,13,1
618,43.70518328,-79.3422473,12,3
619,43.70088226,-79.38736017,28,5
620,43.68688938,-79.40099513,41,12
621,43.63796,-79.387502,50,28
622,43.65484216,-79.40351232,50,24
623,43.6637,-79.400053,50,34
624,43.662857,-79.44618,33,4
625,43.788319,-79.123505,3,3
626,43.64302506,-79.39430138,50,34
627,43.7482972,-79.4757057,8,1
628,43.63737146,-79.38976959,49,25
629,43.73673829,-79.48227196,10,4
630,43.753107,-79.479626,7,2
631,43.7494501,-79.4869662,8,2
632,43.63769549,-79.42023184,40,12
633,43.64392767,-79.36873017,44,31
634,43.650033,-79.396555,50,36
635,43.63912451,-79.41423167,50,14
636,43.640978,-79.376785,50,37
637,43.658148,-79.398167,50,33
638,43.663162,-79.309765,22,9
639,43.67883,-79.408723,44,14
640,43.640132,-79.380464,50,34
641,43.6451635,-79.3831757,50,36
642,43.64817,-79.510392,12,3
643,43.661324,-79.449534,35,5
644,43.66496416,-79.38355032,50,35
645,43.640741,-79.3798521,50,35
646,43.663102,-79.373181,50,42
647,43.6322445,-79.4108105,39,13
648,43.655103,-79.389295,50,36
649,43.65638889,-79.40916667,48,18
650,43.637894,-79.454823,22,11
651,43.6525077,-79.4654233,28,7
652,43.6535269,-79.4650569,27,7
653,43.652686,-79.358395,42,27
654,43.66685078,-79.38114575,50,33
655,43.661152,-79.358505,44,27
656,43.659296,-79.358035,44,28
657,43.667158,-79.402761,50,24
658,43.69362207,-79.2771053,11,1
659,43.72704086,-79.24391402,6,2
660,43.64570237,-79.41933192,39,15
661,43.63735796,-79.43617976,28,7
662,43.73596719,-79.21995221,9,2
663,43.7154661,-79.2876595,8,3
664,43.6429044,-79.43746059,31,9
665,43.70688,-79.26851,13,1
666,43.69735608,-79.28528711,11,1
667,43.7096086,-79.39915125,29,7
668,43.71176279,-79.27028153,9,0
669,43.671771,-79.324961,37,15
670,43.71104424,-79.29127314,10,1
671,43.7032112,-79.2787149,10,1
672,43.7128578,-79.2487086,10,1
673,43.73232779,-79.2249662,7,3
674,43.6698217,-79.39444615,50,25
675,43.645653,-79.464366,29,10
676,43.649217,-79.465319,29,8
677,43.7269017,-79.22920397,6,3
678,43.67794376,-79.39836279,50,26
679,43.634565,-79.409161,45,16
680,43.64309688,-79.42875614,43,11
681,43.65535078,-79.38345967,50,37
682,43.64125616,-79.41502994,49,16
683,43.6476,-79.4015,50,33
684,43.69627507,-79.39629396,27,6
685,43.7043096,-79.3972815,24,6
686,43.6971116,-79.40537298,24,7
687,43.68370788,-79.32262454,26,6
688,43.7063279,-79.3962499,28,6
689,43.64600446,-79.39877642,50,34
690,43.64299174,-79.42355912,41,12
691,43.6572755,-79.32661544,28,15
692,43.68698673,-79.33478198,21,5
